n_points,algorithm,runs,mean_distance,median_distance,std_distance,min_distance,max_distance,mean_runtime_s,median_runtime_s,std_runtime_s,mean_gap_to_best_pct,median_gap_to_best_pct,mean_improvement_pct,distance_mean_ci95_low,distance_mean_ci95_high
10,classic_cpu,100,3101.6579748535155,3151.196563720703,397.6729651617751,2354.348388671875,3941.0863037109375,0.00015516900049983,0.0001401999907102,4.542218006407221e-05,2.828265543810975,0.05769462225886537,8.22818634717261,3023.2635989837645,3176.6940623016358
10,classic_gpu,100,3078.7013763427735,3143.6672973632812,372.97878866081663,2354.3482971191406,3496.2713623046875,0.013509303997852787,0.007467549992725199,0.059448673175652375,2.1386010689670445,1.4876774735741488e-05,8.8349474908077,3005.96100403595,3145.1079727325437
10,ml_cpu,25,3017.070791015625,3104.364501953125,380.75572930619745,2354.348388671875,3496.27099609375,0.053066452001221426,0.0492702999617904,0.01074121655457251,1.956168417384375e-06,0.0,,2871.8687451171872,3160.9964387207033
10,ml_gpu,25,3205.806484375,3208.186279296875,456.3867880538864,2369.81396484375,3995.8955078125,0.5489665879984387,0.4477463000221178,0.4525893083018434,6.132386581859114,6.829382265364231,,3037.5639392089843,3381.3054553222655
20,classic_cpu,100,3989.5695137023927,4042.7549591064453,294.28702662822616,3447.275421142578,4627.873718261719,0.000632960000075347,0.0005816500051877499,0.00018839663749916133,2.9212483060320995,1.4823887134918512,11.006218924433709,3931.644712589264,4045.806152130127
20,classic_gpu,100,3935.9791535949707,3972.2227783203125,291.0125161682956,3415.8540954589844,4473.1806640625,0.013323267998639447,0.01278785002068615,0.0023208343642723214,1.4910558591660492,1.1512325097565026,12.179370918059012,3881.3144477005003,3989.766474067688
20,ml_cpu,25,4655.36822265625,4640.57470703125,423.87910058518764,4047.4287109375,5737.1689453125,0.1193798120017163,0.1186411000089719,0.003077308041420582,20.11993318479328,20.55296744605085,,4492.858194335937,4821.334765625
20,ml_gpu,25,5170.6575390625,5143.54296875,452.7550002505553,4045.17041015625,5963.0927734375,0.8220769680012018,0.8155589999514632,0.03003952858325935,33.33113884991678,34.07962923534352,,4993.991670410156,5343.195101074219
30,classic_cpu,100,4769.220623626709,4864.615089416504,337.65493209662844,4060.870361328125,5416.794738769531,0.0015107529988744712,0.00142489996505895,0.00044870746622793285,5.1756327988478015,4.285367986491197,10.313433701315857,4701.8416016082765,4835.4678232421875
30,classic_gpu,100,4661.712649078369,4752.132797241211,332.5496506879513,4060.870849609375,5259.190399169922,0.017047564000240475,0.0170264499902259,0.0019802755850510017,2.7438969821151655,2.178350540255782,11.33726929255132,4596.685176662445,4728.189717166901
