n_points,classic_cpu,classic_gpu,ml_cpu,ml_gpu
10,3151.196563720703,3143.6672973632812,3104.364501953125,3208.186279296875
20,4042.7549591064453,3972.2227783203125,4640.57470703125,5143.54296875
30,4864.615089416504,4752.132797241211,7118.8408203125,6753.77978515625
40,5416.494445800781,5326.382827758789,9864.599609375,8355.3193359375
50,6061.981384277344,5861.225372314453,12570.052734375,9556.4326171875
100,8652.845085144043,8425.967086791992,24227.736328125,18135.6953125
500,18040.542541503903,17724.264068603516,110315.015625,106335.015625
